NominationID,CeremonyID,Winner
an0051248,1,
an0051249,2,
an0051254a,3,True
an0051271,6,
an0051244,12,
an0053788,17,
an0053793,18,
an0053802,20,True
an0053790,21,
an0053824,23,
an0053850,24,
an0053852,25,
an0053840,27,
an0053847,37,True
an0053839,41,True
an0050118,47,
an0050076,49,
an0050101,51,
an0050086,52,
an0050078,53,
an0053440,62,
an0053473,68,
an0053438,69,True
an0053470,70,
an0053457,73,True
an0052217,74,
an0052206,77,
an0052241,88,
an0052213,90,True
an0052197,91,True
an0056498,105,
an0056497,117,
an0056523,120,
an0056524,133,
an0056493,134,
an0050290,139,
an0050252,147,
an0050317,149,
an0050301,151,
an0050269,153,True
an0056293,159,
an0056263,164,
an0056292,166,
an0056306,175,
an0056257,182,
an0047952,183,
an0047925,187,
an0047977,202,True
an0047948,206,True
an0047885,214,
an0049916,219,
an0053632,220,
an0049870,223,
an0049890,224,
an0049876,234,
an0047498,241,
an0055843,245,True
an0047539,246,
an0047459,250,
an0047543,252,
an0053047,259,
an0052929,263,True
an0053057,275,
an0052935,280,
an0053010,282,
an0056901,292,
an0056802,294,
an0056882,300,
an0056915,309,
an0056811,312,
an0051640,314,
an0051735,319,
an0051755,321,
an0051741,324,
an0051701,327,
an0049680,332,
an0049580,340,
an0049672,347,
an0049572,348,True
anxxx020,351,
an0052692,355,
an0052667,363,
an0052546,368,True
an0052628,369,True
an0052657,370,
an0056075,376,True
an0056002,382,
an0056055,384,
an0056009,386,True
an0056058,388,
an0047629,393,
an0047594,394,
an0047605,399,
an0047570,415,
an0047663,418,
an0048679,419,True
an0048692,422,
an0048713,423,
an0048656,425,
an0048671,428,
an0050072,434,
an0050053,435,
an0050021,443,
an0049981,447,
an0050034,449,
an0052267,452,True
an0056201,460,
an0056158,475,
an0056151,480,
an0056169,486,
an0055078,491,
an0055067,500,
an0055143,506,
an0751305,507,
an0055061,517,True
an0050744,519,
an0050675,525,True
an0050701,535,
an0050749,536,
an0050682,541,
an0049255,542,
an0049342,543,
an0051215,548,True
an0049278,561,
an0049260,564,
an0050639,569,
an0050534,577,
an0050592,583,
an0050532,586,
an0050553,591,
an0054708,593,True
an0054677,595,
an0054698,600,True
an0054724,602,
an0054735,607,
an0054177,615,
an0054182,621,
an0054183,632,
an0054247,636,
an0054185,641,True
an0051518,643,
an0049710,645,True
an0051500,648,
an0051545,655,
an0051487,656,
an0053549,667,True
an0053560,684,
an0053559,685,True
an0053516,707,
an0053534,711,True
an0055507,717,
an0055492,732,
an0055505,740,
an0055570,747,
an0055567,756,
an0049964,759,True
an0055820,774,
an0055758,781,
an0055734,783,
an0055747,793,
an0051855,805,
an0051902,808,
an0051903,814,
an0051853,817,
an0051910,827,
an0048480,830,True
an0048483,831,
an0048417,834,
an0048484,837,
an0056655,849,True
an0053661,853,
an0053646,856,
an0053715,857,
an0053698,875,True
an0053729,880,
an0048188,884,
an0048163,909,
an0048217,918,
an0048156,921,True
an0048140,923,
an0052442,927,
an0052486,928,
an0052511,933,
an0052469,937,
an0052438,945,
an0054039,946,True
an0054054,950,True
an0054131,957,
an0054078,958,
an0054112,970,
an0054408,981,
an0054441,987,
an0054414,992,True
an0054481,993,True
an0054447,995,
an0048804,1000,
an0048792,1002,
an0048836,1004,
an0048776,1008,True
an0048823,1032,
an0055620,1038,True
an0051408,1045,True
an0055689,1050,
an0055640,1054,
an0055621,1059,
an0056400,1061,
an0056392,1066,
an0056395,1080,
an0056384,1087,True
an0049422,1093,True
an0055894,1095,
an0055892,1112,
an0055911,1118,True
an0055932,1137,
an0055893,1140,
an0056997,1147,
an0057039,1155,
an0056996,1163,
an0056988,1172,
an0056993,1175,
an0053951,1177,
an0053976,1192,
an0053988,1196,
an0054008,1197,
an0053962,1203,
an0050435,1210,
an0050436,1215,
an0050498,1227,
an0050438,1233,
an0050453,1243,
an0053371,1244,
an0053400,1251,
an0053370,1255,
an0053345,1259,
an0053381,1276,
an0051294,1279,
an0051348,1284,
an0051302,1286,
an0057431,1289,True
an0051340,1290,
an0054606,1293,
an0054536,1297,
an0054555,1298,True
an0054553,1302,
an0054559,1305,
an0051027,1323,
an0051047,1324,
an0051017,1350,
an0051046,1351,
an0049017,1353,True
an0050154,1359,True
an0050163,1366,
an0050192,1369,
an0049404,1375,True
an0050143,1387,
an0057093,1391,True
an0057148,1397,True
an0057149,1398,
an0057096,1399,
an0057094,1413,
an0054796,1416,
an0054787,1425,
an0054845,1431,
an0051803,1437,True
an0054816,1439,
an0049763,1445,
an0049753,1452,
an0049735,1453,
an0049760,1456,
an0053899,1465,True
an0056366,1472,True
an0051968,1476,
an0051996,1480,
an0052022,1502,
an0056362,1504,True
an0052106,1505,
an0052095,1523,
an0052122,1531,
an0052147,1535,
an0052108,1540,
an0054891,1541,True
an0052829,1549,True
an0052816,1550,
an0052847,1554,
an0052825,1558,
an0048531,1559,True
an0048055,1560,
an0048528,1575,True
an0048011,1583,
an0048048,1585,
an0051437,1591,True
an0049149,1604,
an0049203,1608,
an0049185,1611,
an0049179,1614,
an0050955,1616,
an0050915,1619,
an0053310,1626,True
an0050934,1629,True
an0050912,1634,
an0054376,1637,
an0054305,1639,
anxxx046,1652,True
an0054348,1667,
an0054309,1669,
an0052794,1671,
an0052729,1678,
an0052749,1696,
an0052711,1716,True
an0052783,1718,
an0053100,1720,
an0053123,1722,
an0053144,1724,
an0053106,1726,
an0053080,1737,
an0049457,1738,
an0049438,1743,
an0049510,1745,True
an0049436,1760,True
an0049493,1764,
an0047685,1766,True
an0050378,1767,True
an0050340,1772,
an0050401,1782,
an0050339,1789,
an0049077,1799,
an0049061,1803,
an0049046,1805,
an0049057,1807,
an0049109,1809,True
an0053224,1820,
an0049375,1824,True
an0053250,1827,True
an0053281,1830,
an0053236,1849,
an0051172,1850,
an0051129,1852,
an0051125,1857,
an0051117,1860,
an0051184,1861,
an0047817,1863,nm0001054
an0047783,1869,
an0047781,1890,
an0047794,1903,
an0047775,1906,True
an0048563,1917,
an0048549,1944,
an0048601,1948,
an0057287,1957,True
an0048550,1958,True
an0057260,1965,
an0057198,1968,
an0057197,1971,
an0057236,1997,
an0057228,2007,
an0055225,2017,
anxxx052,2019,True
an0055177,2021,
an0055191,2038,
an0055193,2050,
an0050845,2054,
an0050866,2068,True
an0050883,2071,
an0050806,2072,
an0050847,2077,
an0055396,2092,
an0055466,2104,
an0055406,2112,
an0055426,2118,
an0055425,2120,
an0051799,2122,True
an0054909,2125,
an0054912,2130,
an0054963,2134,True
an0054911,2148,
an0055291,2152,
an0055314,2161,
an0055315,2164,
an0055306,2179,
an0055334,2182,
an0053890,2195,True
an0056638,2201,
an0056624,2202,True
an0056580,2215,True
an0056600,2217,True
an0057413,2222,True
an0057367,2227,
an0057373,2230,
an0057335,2254,
an0057343,2265,
an0053605,2267,True
an0056755,2270,
an0056719,2278,
an0056779,2280,
an0056705,2282,True
an0052325,2283,
an0052371,2291,
an0052318,2293,
an0052323,2294,
an0052337,2301,True
an0048965,2319,
an0048982,2338,True
an0048961,2343,True
an0048980,2345,
an0048943,2358,
an0048286,2377,
an0048290,2381,
an0048364,2389,
an0048292,2392,True
an0048390,2394,
an0310784,2402,
an0310791,2404,True
an0310783,2417,True
an0310767,2420,
an0310828,2428,
an0367896,2435,
an0367873,2447,
an0367891,2450,
an0367872,2454,
an0367932,2456,
an0428428,2457,
an0428422,2463,
an0428454,2475,
an0428513,2488,
an0428515,2529,True
an0481897,2532,
an0469116,2533,True
an0481796,2540,
an0481809,2558,True
an0481758,2563,
an0605825,2565,True
an0606499,2567,
an0606525,2577,True
an0606472,2593,
an0606534,2599,True
an0704482,2608,
an0704534,2611,True
an0704543,2619,
an0704582,2623,
an0704491,2626,True
an0808554,2628,
an0808623,2634,
an0808555,2642,
an0808569,2662,
an0808570,2684,True
an0924765,2685,True
an0908195,2687,True
an0943624,2695,
an0943563,2697,
an0943623,2705,
an1141367,2711,
an1124544,2714,
an1182887,2715,True
an1141303,2719,
an1139342,2725,True
an1295720,2726,
an1295873,2734,True
an1296007,2743,True
an1295700,2759,
an1295058,2761,
an1478486,2764,True
an1478555,2778,
an1482212,2780,
an1482191,2783,
an1482207,2785,
an1638522,2786,
an1638359,2787,True
an1636310,2799,True
an1636328,2802,True
an1638400,2805,True
an1829483,2812,
an1825796,2814,True
an1829417,2821,
an1825788,2836,
an1819943,2838,True
an2043541,2845,
an1922499,2861,True
an2043582,2870,
an2043598,2876,
an1922497,2880,True
fake_nomid017,2896,
fake_nomid014,2908,
fake_nomid050,2916,
fake_nomid016,2919,
fake_nomid020,2929,True
