PersonID,FullName,NominationID
9780439023480,Paramount Famous Lasky,an0051248
9780439554930,Metro-Goldwyn-Mayer,an0051249
9780316015840,Janet Gaynor,an0051254a
9780525478810,Gerald Duffy,an0051271
9780062024040,The Caddo Company,an0051244
9780439023500,Metro-Goldwyn-Mayer,an0053788
9780439655480,Chester Morris,an0053793
9780439023510,Frank Lloyd,an0053802
9780439358070,Paramount Famous Lasky,an0053790
9780439064870,George Barnes,an0053824
9780439139600,Greta Garbo,an0053850
9780545010220,Norma Shearer,an0053852
9780439785970,George Arliss,an0053840
9780060764890,Norma Shearer,an0053847
9780786838650,George Arliss,an0053839
9780375831000,Samuel Goldwyn - United Artists,an0050118
9780316160190,Fox,an0050076
9781416914280,Rowland Brown,an0050101
9780316160210,Marlene Dietrich,an0050086
9780375826700,Paramount Publix,an0050078
9780679879240,Alfred Lunt,an0053440
9780671027350,Paramount Publix,an0053473
9780007442910,Wallace Beery,an0053438
9780812550700,RKO Radio,an0053470
9780316068050,Gordon Wiles,an0053457
9780142402510,Robert Riskin,an0052217
9780439244190,Fox,an0052206
9780142414930,Bunny Dull,an0052241
9780140385720,Frank Lloyd,an0052213
9780385737940,Fox,an0052197
9780007524270,W. S. Van Dyke,an0056498
9780440498060,Victor Schertzinger,an0056497
9780385729340,Scott Beal,an0056523
9780451528830,Cullen Tate,an0056524
9781416914300,Grace Moore,an0056493
9781594744760,Eric Stacey,an0050290
9781595141710,Merle Oberon,an0050252
9780525421030,Universal,an0050317
9780786856860,Hermes Pan,an0050301
802734375,Richard Day,an0050269
9781423101470,Robert Hopkins,an0056293
9781250012580,Metro-Goldwyn-Mayer,an0056263
9780525423640,William Anthony McGuire,an0056292
9780739380340,William S. Darling,an0056306
9780316042670,Samuel Goldwyn Productions,an0056257
9781416975860,Sammy Lee,an0047952
9780689865380,Alexander Toluboff,an0047925
9781416989420,Skibo Productions,an0047977
9780062059930,Hermes Pan,an0047948
9780141382890,Greta Garbo,an0047885
9780066238500,Tom Held,an0049916
9780316043140,Hunt Stromberg,an0053632
9780786817870,King Vidor,an0049870
9780385738930,Robert de Grasse,an0049890
9780141310890,Frank Wead,an0049876
9780440227530,John Victor Mackay,an0047498
9780439366780,Judy Garland,an0055843
9780312360270,Aaron Copland,an0047539
9780375869020,Geraldine Fitzgerald,an0047459
9780312641890,Alfred Newman,an0047543
9780385738750,Victor Young,an0053047
9780590920680,Ginger Rogers,an0052929
9780525476890,Werner Heymann,an0053057
9780061726840,Albert Basserman,an0052935
9780061139380,Warren Low,an0053010
9780061125270,Cole Porter,an0056901
145165801X,Orson Welles,an0056802
9780385751060,Harold F. Kress,an0056882
9781442403540,Max Steiner,an0056915
9780060530920,James Gleason,an0056811
9780439709100,Irving Berlin,an0051640
9781442416860,Richard Hageman,an0051735
9780375806810,20th Century-Fox,an0051755
9781423166010,Edward Ward,an0051741
9780399256750,George Amy,an0051701
9780060764910,Frederic E. Rich,an0049680
9780061969550,Ernst Lubitsch,an0049580
9780007202300,Walter Scharf,an0049672
9780061985880,Katina Paxinou,an0049572
9781416975880,Australian Department of Information Film Unit,anxxx020
9780152063960,Warner Bros.,an0052692
9780525423270,Franke Harling,an0052667
